,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
234648,TDS LANDFILL,2017-01-30 11:48:00,GARBAGE COLLECTIONS,12580,1,1
562914,HORNSBY BEND,2017-01-30 11:53:00,YARD TRIMMING,12680,3,3
36683,TDS LANDFILL,2017-01-30 11:57:00,GARBAGE COLLECTIONS,19860,1,1
321399,TDS LANDFILL,2017-01-30 12:00:00,GARBAGE COLLECTIONS,20020,1,1
325220,BRAKER SITE,2017-01-30 12:10:00,SWEEPING,0,6,4
249057,TDS LANDFILL,2017-01-30 12:13:00,GARBAGE COLLECTIONS,2580,1,1
311831,TDS - MRF,2017-01-30 12:20:00,RECYCLING - SINGLE STREAM,17700,4,2
258700,TDS LANDFILL,2017-01-30 12:27:00,GARBAGE COLLECTIONS,14380,1,1
226566,TDS - MRF,2017-01-30 12:32:00,RECYCLING - SINGLE STREAM,12780,4,2
17808,TDS LANDFILL,2017-01-30 12:36:00,SWEEPING,3700,1,4
214612,TDS LANDFILL,2017-01-30 12:45:00,GARBAGE COLLECTIONS,9260,1,1
23437,ONION CREEK,2017-01-30 12:50:00,SWEEPING,0,5,4
509939,TDS - MRF,2017-01-30 12:51:00,RECYCLING - SINGLE STREAM,15700,4,2
308394,ONION CREEK,2017-01-30 12:55:00,SWEEPING,0,5,4
426037,TDS - MRF,2017-01-30 13:01:00,RECYCLING - SINGLE STREAM,3580,4,2
236559,TDS LANDFILL,2017-01-30 13:02:00,GARBAGE COLLECTIONS,20440,1,1
303424,TDS - MRF,2017-01-30 13:03:00,RECYCLING - SINGLE STREAM,6140,4,2
39256,TDS LANDFILL,2017-01-30 13:04:00,GARBAGE COLLECTIONS,20640,1,1
201853,TDS LANDFILL,2017-01-30 13:07:00,GARBAGE COLLECTIONS,23320,1,1
218273,TDS - MRF,2017-01-30 13:10:00,RECYCLING - SINGLE STREAM,12020,4,2
216022,TDS LANDFILL,2017-01-30 13:13:00,GARBAGE COLLECTIONS,4300,1,1
117193,TDS LANDFILL,2017-01-30 13:15:00,GARBAGE COLLECTIONS,24780,1,1
395346,TDS - MRF,2017-01-30 13:15:00,RECYCLING - SINGLE STREAM,5520,4,2
248229,HORNSBY BEND,2017-01-30 13:16:00,YARD TRIMMING,15760,3,3
29990,TDS LANDFILL,2017-01-30 13:18:00,GARBAGE COLLECTIONS,20120,1,1
458936,TDS - MRF,2017-01-30 13:19:00,RECYCLING - SINGLE STREAM,19080,4,2
507604,TDS LANDFILL,2017-01-30 13:19:00,GARBAGE COLLECTIONS,17920,1,1
357379,TDS LANDFILL,2017-01-30 13:19:00,GARBAGE COLLECTIONS,7000,1,1
471254,TDS LANDFILL,2017-01-30 13:20:00,GARBAGE COLLECTIONS,22940,1,1
405848,TDS LANDFILL,2017-01-30 13:21:00,GARBAGE COLLECTIONS,22000,1,1
71821,BALCONES RECYCLING,2017-01-30 13:23:00,RECYCLING - SINGLE STREAM,860,2,2
64377,ONION CREEK,2017-01-30 13:25:00,SWEEPING,0,5,4
528184,TDS LANDFILL,2017-01-30 13:25:00,GARBAGE COLLECTIONS,21780,1,1
125061,HORNSBY BEND,2017-01-30 13:26:00,YARD TRIMMING,14320,3,3
34098,TDS - MRF,2017-01-30 13:26:00,RECYCLING - SINGLE STREAM,8480,4,2
522498,TDS LANDFILL,2017-01-30 13:28:00,GARBAGE COLLECTIONS,17840,1,1
446688,TDS - MRF,2017-01-30 13:30:00,RECYCLING - SINGLE STREAM,15820,4,2
345526,TDS LANDFILL,2017-01-30 13:30:00,GARBAGE COLLECTIONS,19220,1,1
411459,BRAKER SITE,2017-01-30 13:35:00,SWEEPING,0,6,4
287805,ONION CREEK,2017-01-30 13:40:00,SWEEPING,0,5,4
537587,ONION CREEK,2017-01-30 13:40:00,SWEEPING,0,5,4
232042,ONION CREEK,2017-01-30 13:42:00,SWEEPING,0,5,4
543052,TDS LANDFILL,2017-01-30 13:42:00,GARBAGE COLLECTIONS,19640,1,1
126029,TDS LANDFILL,2017-01-30 13:46:00,GARBAGE COLLECTIONS,17940,1,1
402796,TDS LANDFILL,2017-01-30 13:51:00,GARBAGE COLLECTIONS,19220,1,1
502745,ONION CREEK,2017-01-30 13:56:00,SWEEPING,0,5,4
133494,TDS - MRF,2017-01-30 14:00:00,RECYCLING - SINGLE STREAM,17740,4,2
159771,TDS - MRF,2017-01-30 14:00:00,RECYCLING - SINGLE STREAM,11380,4,2
220353,TDS LANDFILL,2017-01-30 14:02:00,GARBAGE COLLECTIONS,17200,1,1
329618,HORNSBY BEND,2017-01-30 14:05:00,YARD TRIMMING,13380,3,3
304859,TDS LANDFILL,2017-01-30 14:06:00,GARBAGE COLLECTIONS,14320,1,1
61053,TDS LANDFILL,2017-01-30 14:11:00,GARBAGE COLLECTIONS,13440,1,1
381284,ORGANICS BY GOSH,2017-01-30 14:17:00,YARD TRIMMING,14120,8,3
496118,TDS - MRF,2017-01-30 14:17:00,RECYCLING - SINGLE STREAM,12000,4,2
545123,TDS LANDFILL,2017-01-30 14:18:00,GARBAGE COLLECTIONS,25320,1,1
118098,ORGANICS BY GOSH,2017-01-30 14:18:00,YARD TRIMMING,11540,8,3
156681,TDS - MRF,2017-01-30 14:20:00,RECYCLING - SINGLE STREAM,6000,4,2
486092,TDS LANDFILL,2017-01-30 14:22:00,GARBAGE COLLECTIONS,26560,1,1
270724,HORNSBY BEND,2017-01-30 14:23:00,YARD TRIMMING,10880,3,3
23272,TDS LANDFILL,2017-01-30 14:23:00,GARBAGE COLLECTIONS,24180,1,1
515562,TDS - MRF,2017-01-30 14:25:00,RECYCLING - SINGLE STREAM,13860,4,2
99815,TDS LANDFILL,2017-01-30 14:28:00,GARBAGE COLLECTIONS,22980,1,1
85334,ORGANICS BY GOSH,2017-01-30 14:28:00,YARD TRIMMING,12940,8,3
458023,ORGANICS BY GOSH,2017-01-30 14:31:00,YARD TRIMMING,6280,8,3
332031,TDS - MRF,2017-01-30 14:40:00,RECYCLING - SINGLE STREAM,13240,4,2
35829,HORNSBY BEND,2017-01-30 14:46:00,YARD TRIMMING,15440,3,3
342096,TDS - MRF,2017-01-30 14:48:00,RECYCLING - SINGLE STREAM,7000,4,2
535766,TDS LANDFILL,2017-01-30 15:00:00,GARBAGE COLLECTIONS,19440,1,1
185284,TDS - MRF,2017-01-30 15:03:00,RECYCLING - SINGLE STREAM,7040,4,2
115853,TDS - MRF,2017-01-30 15:03:00,RECYCLING - SINGLE STREAM,13200,4,2
123896,TDS LANDFILL,2017-01-30 15:12:00,GARBAGE COLLECTIONS,16280,1,1
141090,TDS LANDFILL,2017-01-30 15:14:00,GARBAGE COLLECTIONS,14740,1,1
562991,TDS LANDFILL,2017-01-30 15:16:00,GARBAGE COLLECTIONS,16040,1,1
214,TDS LANDFILL,2017-01-30 15:30:00,GARBAGE COLLECTIONS,12140,1,1
147589,TDS LANDFILL,2017-01-30 15:30:00,GARBAGE COLLECTIONS,23500,1,1
300827,TDS - MRF,2017-01-30 15:30:00,RECYCLING - SINGLE STREAM,12440,4,2
460812,HORNSBY BEND,2017-01-30 15:32:00,BRUSH,8460,3,6
208083,TDS - MRF,2017-01-30 15:32:00,RECYCLING - SINGLE STREAM,9680,4,2
277263,TDS - MRF,2017-01-30 15:33:00,RECYCLING - SINGLE STREAM,13520,4,2
211321,TDS LANDFILL,2017-01-30 15:37:00,GARBAGE COLLECTIONS,14220,1,1
149827,TDS - MRF,2017-01-30 15:39:00,RECYCLING - SINGLE STREAM,13460,4,2
440606,TDS LANDFILL,2017-01-30 15:39:00,GARBAGE COLLECTIONS,11260,1,1
251257,TDS - MRF,2017-01-30 15:40:00,RECYCLING - SINGLE STREAM,12620,4,2
505492,TDS LANDFILL,2017-01-30 15:41:00,GARBAGE COLLECTIONS,20180,1,1
80870,HORNSBY BEND,2017-01-30 15:43:00,YARD TRIMMING,17240,3,3
294071,TDS LANDFILL,2017-01-30 15:44:00,GARBAGE COLLECTIONS,11980,1,1
512929,TDS LANDFILL,2017-01-30 15:45:00,GARBAGE COLLECTIONS,14660,1,1
174615,TDS LANDFILL,2017-01-30 15:45:00,GARBAGE COLLECTIONS,21640,1,1
108204,TDS LANDFILL,2017-01-30 15:48:00,GARBAGE COLLECTIONS,17280,1,1
393250,TDS - MRF,2017-01-30 15:53:00,RECYCLING - SINGLE STREAM,7580,4,2
376326,TDS - MRF,2017-01-30 15:54:00,RECYCLING - SINGLE STREAM,8240,4,2
395286,HORNSBY BEND,2017-01-30 15:57:00,YARD TRIMMING,15460,3,3
89606,TDS LANDFILL,2017-01-30 16:00:00,GARBAGE COLLECTIONS,12120,1,1
382142,TDS - MRF,2017-01-30 16:02:00,RECYCLING - SINGLE STREAM,4580,4,2
422774,HORNSBY BEND,2017-01-30 16:06:00,YARD TRIMMING,15460,3,3
524344,TDS LANDFILL,2017-01-30 16:07:00,GARBAGE COLLECTIONS,14240,1,1
497910,TDS LANDFILL,2017-01-30 16:09:00,GARBAGE COLLECTIONS,22960,1,1
40037,TDS LANDFILL,2017-01-30 16:10:00,GARBAGE COLLECTIONS,14540,1,1
502444,TDS - MRF,2017-01-30 16:13:00,RECYCLING - SINGLE STREAM,7500,4,2
209632,TDS LANDFILL,2017-01-30 16:14:00,GARBAGE COLLECTIONS,19540,1,1
525032,TDS LANDFILL,2017-01-30 16:15:00,GARBAGE COLLECTIONS,16700,1,1
306550,TDS - MRF,2017-01-30 16:19:00,RECYCLING - SINGLE STREAM,12420,4,2
61596,TDS LANDFILL,2017-01-30 16:25:00,GARBAGE COLLECTIONS,15320,1,1
106753,TDS - MRF,2017-01-30 16:26:00,RECYCLING - SINGLE STREAM,15760,4,2
401092,HORNSBY BEND,2017-01-30 16:26:00,YARD TRIMMING,14260,3,3
168192,TDS - MRF,2017-01-30 16:45:00,RECYCLING - SINGLE STREAM,7160,4,2
461024,HORNSBY BEND,2017-01-30 16:46:00,YARD TRIMMING,4480,3,3
537682,HORNSBY BEND,2017-01-30 16:48:00,YARD TRIMMING,8440,3,3
549029,TDS LANDFILL,2017-01-30 16:56:00,GARBAGE COLLECTIONS,20460,1,1
227788,TDS LANDFILL,2017-01-30 16:58:00,GARBAGE COLLECTIONS,14080,1,1
312554,HORNSBY BEND,2017-01-30 16:59:00,YARD TRIMMING,10420,3,3
235115,HORNSBY BEND,2017-01-30 17:00:00,YARD TRIMMING,12240,3,3
260470,TDS LANDFILL,2017-01-30 17:00:00,GARBAGE COLLECTIONS,13000,1,1
367896,TDS LANDFILL,2017-01-30 17:01:00,GARBAGE COLLECTIONS,17420,1,1
330542,HORNSBY BEND,2017-01-30 17:01:00,YARD TRIMMING,13560,3,3
445610,TDS - MRF,2017-01-30 17:10:00,RECYCLING - SINGLE STREAM,2640,4,2
127671,HORNSBY BEND,2017-01-30 17:18:00,YARD TRIMMING,4920,3,3
284853,TDS LANDFILL,2017-01-31 00:00:00,DEAD ANIMAL,180,1,7
36316,MRF,2017-01-31 00:00:00,TIRES,280,9,7
472029,TDS - MRF,2017-01-31 00:00:00,RECYCLING - SINGLE STREAM,14020,4,2
278109,TDS LANDFILL,2017-01-31 00:00:00,DEAD ANIMAL,80,1,7
336019,TDS LANDFILL,2017-01-31 00:00:00,BULK,11800,1,5
87934,TDS LANDFILL,2017-01-31 00:00:00,BULK,10240,1,5
401140,TDS LANDFILL,2017-01-31 00:00:00,BULK,13140,1,5
81679,TDS LANDFILL,2017-01-31 00:00:00,BULK,6460,1,5
434672,TDS - MRF,2017-01-31 00:00:00,RECYCLING - SINGLE STREAM,14300,4,2
124251,TDS LANDFILL,2017-01-31 00:00:00,BULK,8940,1,5
358279,TDS LANDFILL,2017-01-31 00:00:00,BULK,7460,1,5
364933,TDS LANDFILL,2017-01-31 00:00:00,BULK,10120,1,5
361471,TDS - MRF,2017-01-31 00:00:00,RECYCLING - SINGLE STREAM,11460,4,2
54589,TDS LANDFILL,2017-01-31 00:00:00,BULK,8440,1,5
181920,TDS LANDFILL,2017-01-31 00:00:00,BULK,8320,1,5
352906,TDS - MRF,2017-01-31 00:00:00,RECYCLING - SINGLE STREAM,12180,4,2
252977,TDS LANDFILL,2017-01-31 00:00:00,BULK,10280,1,5
83706,HORNSBY BEND,2017-01-31 06:54:00,YARD TRIMMING,16660,3,3
255623,TDS LANDFILL,2017-01-31 07:34:00,SWEEPING,12200,1,4
498143,TDS LANDFILL,2017-01-31 07:58:00,SWEEPING,12120,1,4
550441,HORNSBY BEND,2017-01-31 08:13:00,BRUSH,8340,3,6
367350,TDS - MRF,2017-01-31 08:53:00,RECYCLING - SINGLE STREAM,9740,4,2
99450,TDS - MRF,2017-01-31 09:38:00,RECYCLING - SINGLE STREAM,10740,4,2
242477,ON ROUTE HIGH DUMP,2017-01-31 09:40:00,SWEEPING,0,7,4
231799,TDS - MRF,2017-01-31 09:48:00,RECYCLING - SINGLE STREAM,13240,4,2
50665,BRAKER SITE,2017-01-31 09:50:00,SWEEPING,0,6,4
1197,HORNSBY BEND,2017-01-31 09:55:00,YARD TRIMMING,12120,3,3
203027,ON ROUTE HIGH DUMP,2017-01-31 09:56:00,SWEEPING,0,7,4
218503,TDS - MRF,2017-01-31 10:00:00,RECYCLING - SINGLE STREAM,12020,4,2
192954,TDS - MRF,2017-01-31 10:00:00,RECYCLING - SINGLE STREAM,6340,4,2
402004,TDS - MRF,2017-01-31 10:00:00,RECYCLING - SINGLE STREAM,10200,4,2
224,TDS - MRF,2017-01-31 10:00:00,RECYCLING - SINGLE STREAM,12120,4,2
429266,HORNSBY BEND,2017-01-31 10:05:00,YARD TRIMMING,11880,3,3
221128,TDS - MRF,2017-01-31 10:06:00,RECYCLING - SINGLE STREAM,9300,4,2
72950,TDS - MRF,2017-01-31 10:16:00,RECYCLING - SINGLE STREAM,13640,4,2
295622,TDS - MRF,2017-01-31 10:18:00,RECYCLING - SINGLE STREAM,12380,4,2
244633,HORNSBY BEND,2017-01-31 10:23:00,YARD TRIMMING,14420,3,3
429822,HORNSBY BEND,2017-01-31 10:24:00,YARD TRIMMING,15980,3,3
469583,BRAKER SITE,2017-01-31 10:30:00,SWEEPING,0,6,4
561196,ORGANICS BY GOSH,2017-01-31 10:32:00,YARD TRIMMING,16140,8,3
344362,TDS LANDFILL,2017-01-31 10:38:00,GARBAGE COLLECTIONS,8420,1,1
99418,TDS - MRF,2017-01-31 10:40:00,RECYCLING - SINGLE STREAM,10840,4,2
222773,BRAKER SITE,2017-01-31 10:45:00,SWEEPING,0,6,4
459337,TDS - MRF,2017-01-31 10:46:00,RECYCLING - SINGLE STREAM,5960,4,2
381080,BRAKER SITE,2017-01-31 10:50:00,SWEEPING,0,6,4
437735,HORNSBY BEND,2017-01-31 10:52:00,YARD TRIMMING,17200,3,3
37134,HORNSBY BEND,2017-01-31 10:55:00,YARD TRIMMING,12140,3,3
119602,TDS LANDFILL,2017-01-31 10:59:00,GARBAGE COLLECTIONS,6680,1,1
387071,BRAKER SITE,2017-01-31 11:00:00,SWEEPING,0,6,4
504790,TDS - MRF,2017-01-31 11:03:00,RECYCLING - SINGLE STREAM,12400,4,2
520534,ON ROUTE HIGH DUMP,2017-01-31 11:09:00,SWEEPING,0,7,4
193972,HORNSBY BEND,2017-01-31 11:10:00,YARD TRIMMING,17100,3,3
227509,TDS LANDFILL,2017-01-31 11:12:00,GARBAGE COLLECTIONS,5460,1,1
423520,HORNSBY BEND,2017-01-31 11:12:00,YARD TRIMMING,14300,3,3
157311,TDS - MRF,2017-01-31 11:16:00,RECYCLING - SINGLE STREAM,13020,4,2
33054,TDS LANDFILL,2017-01-31 11:17:00,GARBAGE COLLECTIONS,6060,1,1
410905,TDS LANDFILL,2017-01-31 11:20:00,GARBAGE COLLECTIONS,18160,1,1
303866,ON ROUTE HIGH DUMP,2017-01-31 11:20:00,SWEEPING,0,7,4
329173,TDS LANDFILL,2017-01-31 11:29:00,GARBAGE COLLECTIONS,16780,1,1
435784,TDS LANDFILL,2017-01-31 11:32:00,GARBAGE COLLECTIONS,18060,1,1
301671,TDS LANDFILL,2017-01-31 11:33:00,SWEEPING,8460,1,4
392547,HORNSBY BEND,2017-01-31 11:35:00,YARD TRIMMING,15720,3,3
436008,TDS LANDFILL,2017-01-31 11:37:00,GARBAGE COLLECTIONS,17800,1,1
381605,HORNSBY BEND,2017-01-31 11:44:00,YARD TRIMMING,15420,3,3
298280,TDS LANDFILL,2017-01-31 11:51:00,MIXED LITTER,1920,1,7
281756,TDS LANDFILL,2017-01-31 11:53:00,MIXED LITTER,4380,1,7
123060,TDS - MRF,2017-01-31 11:56:00,RECYCLING - SINGLE STREAM,11720,4,2
147171,TDS - MRF,2017-01-31 11:59:00,RECYCLING - SINGLE STREAM,680,4,2
168216,ON ROUTE HIGH DUMP,2017-01-31 12:00:00,SWEEPING,0,7,4
330402,HORNSBY BEND,2017-01-31 12:01:00,YARD TRIMMING,7200,3,3
52988,HORNSBY BEND,2017-01-31 12:02:00,BRUSH,5140,3,6
548630,TDS - MRF,2017-01-31 12:13:00,RECYCLING - SINGLE STREAM,12360,4,2
89308,TDS LANDFILL,2017-01-31 12:15:00,SWEEPING,12040,1,4
277832,TDS - MRF,2017-01-31 12:16:00,RECYCLING - SINGLE STREAM,15840,4,2
312068,TDS - MRF,2017-01-31 12:17:00,SWEEPING,340,4,4
458815,TDS - MRF,2017-01-31 12:19:00,RECYCLING - SINGLE STREAM,9740,4,2
461289,TDS LANDFILL,2017-01-31 12:24:00,GARBAGE COLLECTIONS,6220,1,1
110964,TDS LANDFILL,2017-01-31 12:26:00,GARBAGE COLLECTIONS,6020,1,1
124307,TDS LANDFILL,2017-01-31 12:30:00,GARBAGE COLLECTIONS,24280,1,1
537137,TDS LANDFILL,2017-01-31 12:30:00,GARBAGE COLLECTIONS,6700,1,1
416915,TDS LANDFILL,2017-01-31 12:41:00,GARBAGE COLLECTIONS,6080,1,1
165009,ORGANICS BY GOSH,2017-01-31 12:44:00,YARD TRIMMING,15520,8,3
208516,TDS LANDFILL,2017-01-31 12:45:00,GARBAGE COLLECTIONS,24440,1,1
265788,TDS LANDFILL,2017-01-31 12:50:00,GARBAGE COLLECTIONS,15100,1,1
25979,ONION CREEK,2017-01-31 12:50:00,SWEEPING,0,5,4
525979,TDS LANDFILL,2017-01-31 12:50:00,GARBAGE COLLECTIONS,17640,1,1
109354,TDS LANDFILL,2017-01-31 12:52:00,GARBAGE COLLECTIONS,5860,1,1
77749,TDS - MRF,2017-01-31 12:54:00,RECYCLING - SINGLE STREAM,14420,4,2
70896,TDS LANDFILL,2017-01-31 12:55:00,GARBAGE COLLECTIONS,24540,1,1
397446,TDS - MRF,2017-01-31 12:57:00,RECYCLING - SINGLE STREAM,17580,4,2
241183,TDS - MRF,2017-01-31 13:00:00,RECYCLING - SINGLE STREAM,14360,4,2
430740,TDS - MRF,2017-01-31 13:00:00,RECYCLING - SINGLE STREAM,4760,4,2
187835,TDS - MRF,2017-01-31 13:00:00,RECYCLING - SINGLE STREAM,6100,4,2
196072,TDS LANDFILL,2017-01-31 13:00:00,GARBAGE COLLECTIONS,20200,1,1
363592,ONION CREEK,2017-01-31 13:00:00,SWEEPING,0,5,4
211378,TDS LANDFILL,2017-01-31 13:00:00,GARBAGE COLLECTIONS,11380,1,1
452016,TDS LANDFILL,2017-01-31 13:01:00,GARBAGE COLLECTIONS,21860,1,1
295488,TDS - MRF,2017-01-31 13:03:00,RECYCLING - SINGLE STREAM,3720,4,2
393722,TDS LANDFILL,2017-01-31 13:03:00,GARBAGE COLLECTIONS,18900,1,1
82764,TDS - MRF,2017-01-31 13:04:00,RECYCLING - SINGLE STREAM,9620,4,2
81235,TDS LANDFILL,2017-01-31 13:05:00,GARBAGE COLLECTIONS,17920,1,1
440634,TDS LANDFILL,2017-01-31 13:05:00,GARBAGE COLLECTIONS,19120,1,1
98615,TDS LANDFILL,2017-01-31 13:06:00,GARBAGE COLLECTIONS,12600,1,1
340003,TDS LANDFILL,2017-01-31 13:08:00,GARBAGE COLLECTIONS,13260,1,1
335757,TDS LANDFILL,2017-01-31 13:11:00,GARBAGE COLLECTIONS,22640,1,1
45865,TDS LANDFILL,2017-01-31 13:14:00,GARBAGE COLLECTIONS,13460,1,1
134162,TDS LANDFILL,2017-01-31 13:15:00,GARBAGE COLLECTIONS,14300,1,1
527945,TDS LANDFILL,2017-01-31 13:15:00,SWEEPING,4600,1,4
267663,TDS LANDFILL,2017-01-31 13:15:00,GARBAGE COLLECTIONS,19720,1,1
77264,TDS LANDFILL,2017-01-31 13:18:00,GARBAGE COLLECTIONS,21580,1,1
189509,BALCONES RECYCLING,2017-01-31 13:19:00,RECYCLING - SINGLE STREAM,2680,2,2
288985,TDS LANDFILL,2017-01-31 13:20:00,GARBAGE COLLECTIONS,20440,1,1
90649,TDS - MRF,2017-01-31 13:30:00,RECYCLING - SINGLE STREAM,12840,4,2
193313,TDS LANDFILL,2017-01-31 13:30:00,GARBAGE COLLECTIONS,14320,1,1
8440,TDS LANDFILL,2017-01-31 13:30:00,GARBAGE COLLECTIONS,10820,1,1
449898,TDS LANDFILL,2017-01-31 13:30:00,GARBAGE COLLECTIONS,19100,1,1
526883,TDS LANDFILL,2017-01-31 13:30:00,GARBAGE COLLECTIONS,10560,1,1
206777,TDS LANDFILL,2017-01-31 13:33:00,GARBAGE COLLECTIONS,21440,1,1
64206,TDS LANDFILL,2017-01-31 13:38:00,SWEEPING,9320,1,4
65164,TDS LANDFILL,2017-01-31 13:40:00,GARBAGE COLLECTIONS,25640,1,1
319825,TDS - MRF,2017-01-31 13:42:00,RECYCLING - SINGLE STREAM,7060,4,2
431907,TDS LANDFILL,2017-01-31 13:44:00,GARBAGE COLLECTIONS,19700,1,1
407445,ONION CREEK,2017-01-31 13:45:00,SWEEPING,0,5,4
37106,ONION CREEK,2017-01-31 13:45:00,SWEEPING,0,5,4
456805,TDS - MRF,2017-01-31 13:46:00,RECYCLING - SINGLE STREAM,10660,4,2
171025,HORNSBY BEND,2017-01-31 13:49:00,BRUSH,8120,3,6
217268,TDS - MRF,2017-01-31 13:49:00,RECYCLING - SINGLE STREAM,4660,4,2
375095,HORNSBY BEND,2017-01-31 13:49:00,BRUSH,7660,3,6
461348,TDS LANDFILL,2017-01-31 13:50:00,GARBAGE COLLECTIONS,21940,1,1
527438,ONION CREEK,2017-01-31 14:00:00,SWEEPING,0,5,4
269020,TDS LANDFILL,2017-01-31 14:01:00,GARBAGE COLLECTIONS,20580,1,1
381743,HORNSBY BEND,2017-01-31 14:07:00,YARD TRIMMING,6380,3,3
207401,TDS - MRF,2017-01-31 14:19:00,RECYCLING - SINGLE STREAM,8440,4,2
509316,TDS LANDFILL,2017-01-31 14:19:00,GARBAGE COLLECTIONS,17120,1,1
560832,HORNSBY BEND,2017-01-31 14:21:00,YARD TRIMMING,3100,3,3
33009,TDS - MRF,2017-01-31 14:30:00,RECYCLING - SINGLE STREAM,13640,4,2
118196,HORNSBY BEND,2017-01-31 14:32:00,YARD TRIMMING,16120,3,3
251870,HORNSBY BEND,2017-01-31 14:36:00,YARD TRIMMING,15000,3,3
317562,HORNSBY BEND,2017-01-31 14:37:00,YARD TRIMMING,16460,3,3
307838,TDS LANDFILL,2017-01-31 14:41:00,GARBAGE COLLECTIONS,18160,1,1
240784,HORNSBY BEND,2017-01-31 14:42:00,YARD TRIMMING,4080,3,3
477907,TDS LANDFILL,2017-01-31 14:43:00,GARBAGE COLLECTIONS,20760,1,1
211256,TDS - MRF,2017-01-31 14:45:00,RECYCLING - SINGLE STREAM,6100,4,2
533180,ORGANICS BY GOSH,2017-01-31 14:45:00,YARD TRIMMING,16620,8,3
211086,TDS LANDFILL,2017-01-31 14:46:00,GARBAGE COLLECTIONS,17680,1,1
82589,TDS - MRF,2017-01-31 14:47:00,RECYCLING - SINGLE STREAM,4780,4,2
379216,TDS LANDFILL,2017-01-31 14:49:00,GARBAGE COLLECTIONS,22960,1,1
270990,HORNSBY BEND,2017-01-31 14:53:00,YARD TRIMMING,9080,3,3
19661,HORNSBY BEND,2017-01-31 14:57:00,YARD TRIMMING,5040,3,3
250008,HORNSBY BEND,2017-01-31 15:04:00,BRUSH,7680,3,6
186258,HORNSBY BEND,2017-01-31 15:21:00,YARD TRIMMING,17440,3,3
334821,HORNSBY BEND,2017-01-31 15:29:00,BRUSH,11100,3,6
484749,HORNSBY BEND,2017-01-31 15:30:00,YARD TRIMMING,15960,3,3
175417,HORNSBY BEND,2017-01-31 15:31:00,BRUSH,9720,3,6
290676,HORNSBY BEND,2017-01-31 15:34:00,BRUSH,4440,3,6
47600,HORNSBY BEND,2017-01-31 15:39:00,YARD TRIMMING,13060,3,3
217480,TDS - MRF,2017-01-31 15:58:00,RECYCLING - SINGLE STREAM,13320,4,2
402763,ORGANICS BY GOSH,2017-01-31 16:00:00,YARD TRIMMING,4220,8,3
54244,TDS LANDFILL,2017-02-01 00:00:00,BULK,9760,1,5
252790,TDS LANDFILL,2017-02-01 00:00:00,DEAD ANIMAL,320,1,7
435475,TDS LANDFILL,2017-02-01 00:00:00,BULK,7940,1,5
427633,TDS LANDFILL,2017-02-01 00:00:00,BULK,9340,1,5
168823,TDS LANDFILL,2017-02-01 00:00:00,BULK,11020,1,5
450754,TDS LANDFILL,2017-02-01 00:00:00,BULK,8080,1,5
309637,TDS LANDFILL,2017-02-01 00:00:00,BULK,11780,1,5
273476,ONION CREEK,2017-02-01 00:00:00,SWEEPING,0,5,4
473749,TDS LANDFILL,2017-02-01 00:00:00,BULK,5940,1,5
455490,MRF,2017-02-01 00:00:00,TIRES,460,9,7
58990,BALCONES RECYCLING,2017-02-01 00:00:00,RECYCLING - SINGLE STREAM,9940,2,2
257308,ONION CREEK,2017-02-01 00:00:00,SWEEPING,0,5,4
320940,TDS LANDFILL,2017-02-01 00:00:00,BULK,8860,1,5
127766,TDS LANDFILL,2017-02-01 00:00:00,BULK,12700,1,5
33347,TDS LANDFILL,2017-02-01 00:00:00,DEAD ANIMAL,60,1,7
58518,BALCONES RECYCLING,2017-02-01 01:48:00,RECYCLING - SINGLE STREAM,11140,2,2
540589,BALCONES RECYCLING,2017-02-01 07:22:00,RECYCLING - SINGLE STREAM,9040,2,2
210717,BALCONES RECYCLING,2017-02-01 07:50:00,RECYCLING - SINGLE STREAM,13330,2,2
507326,TDS LANDFILL,2017-02-01 08:37:00,SWEEPING,9720,1,4
68719,TDS LANDFILL,2017-02-01 09:07:00,SWEEPING,4920,1,4
49653,BRAKER SITE,2017-02-01 09:15:00,YARD TRIMMING,16500,6,3
28396,BALCONES RECYCLING,2017-02-01 09:29:00,RECYCLING - SINGLE STREAM,12260,2,2
168872,TDS LANDFILL,2017-02-01 10:00:00,GARBAGE COLLECTIONS,18720,1,1
71902,BRAKER SITE,2017-02-01 10:00:00,YARD TRIMMING,16500,6,3
111130,BALCONES RECYCLING,2017-02-01 10:04:00,RECYCLING - SINGLE STREAM,10713,2,2
506251,BALCONES RECYCLING,2017-02-01 10:06:00,RECYCLING - SINGLE STREAM,12440,2,2
453080,BALCONES RECYCLING,2017-02-01 10:06:00,RECYCLING - SINGLE STREAM,12580,2,2
384787,BALCONES RECYCLING,2017-02-01 10:08:00,RECYCLING - SINGLE STREAM,13060,2,2
219643,BALCONES RECYCLING,2017-02-01 10:11:00,RECYCLING - SINGLE STREAM,2410,2,2
227767,TDS LANDFILL,2017-02-01 10:22:00,GARBAGE COLLECTIONS,13000,1,1
41740,BRAKER SITE,2017-02-01 10:25:00,YARD TRIMMING,16500,6,3
27165,BRAKER SITE,2017-02-01 10:30:00,YARD TRIMMING,15500,6,3
105411,TDS LANDFILL,2017-02-01 10:30:00,GARBAGE COLLECTIONS,12960,1,1
249166,BRAKER SITE,2017-02-01 10:35:00,SWEEPING,0,6,4
