,dropoff_site,load_time,load_type,load_weight,dropoff_site_new,load_type_new
152925,HORNSBY BEND,2017-01-02 11:41:00,YARD TRIMMING,17280,3,3
143955,TDS LANDFILL,2017-01-02 11:43:00,GARBAGE COLLECTIONS,8080,1,1
452230,TDS - MRF,2017-01-02 11:45:00,RECYCLING - SINGLE STREAM,5020,4,2
197653,TDS LANDFILL,2017-01-02 11:48:00,GARBAGE COLLECTIONS,4160,1,1
18903,TDS - MRF,2017-01-02 11:57:00,RECYCLING - SINGLE STREAM,5020,4,2
201040,HORNSBY BEND,2017-01-02 12:00:00,YARD TRIMMING,8800,3,3
336202,TDS - MRF,2017-01-02 12:01:00,RECYCLING - SINGLE STREAM,11600,4,2
466925,TDS LANDFILL,2017-01-02 12:06:00,GARBAGE COLLECTIONS,18940,1,1
61889,TDS - MRF,2017-01-02 12:08:00,RECYCLING - SINGLE STREAM,12440,4,2
362872,TDS - MRF,2017-01-02 12:16:00,RECYCLING - SINGLE STREAM,5620,4,2
127248,TDS - MRF,2017-01-02 12:19:00,RECYCLING - SINGLE STREAM,5380,4,2
492572,TDS LANDFILL,2017-01-02 12:20:00,GARBAGE COLLECTIONS,25920,1,1
136927,HORNSBY BEND,2017-01-02 12:22:00,YARD TRIMMING,15040,3,3
418539,HORNSBY BEND,2017-01-02 12:24:00,YARD TRIMMING,16960,3,3
393882,HORNSBY BEND,2017-01-02 12:29:00,YARD TRIMMING,16460,3,3
44652,TDS LANDFILL,2017-01-02 12:30:00,GARBAGE COLLECTIONS,22320,1,1
92673,HORNSBY BEND,2017-01-02 12:30:00,YARD TRIMMING,17200,3,3
230229,TDS LANDFILL,2017-01-02 12:35:00,GARBAGE COLLECTIONS,10320,1,1
40706,TDS LANDFILL,2017-01-02 12:35:00,GARBAGE COLLECTIONS,24560,1,1
349848,HORNSBY BEND,2017-01-02 12:36:00,YARD TRIMMING,4840,3,3
409284,TDS LANDFILL,2017-01-02 12:37:00,GARBAGE COLLECTIONS,19140,1,1
12406,TDS LANDFILL,2017-01-02 12:38:00,GARBAGE COLLECTIONS,22040,1,1
397146,TDS LANDFILL,2017-01-02 12:38:00,GARBAGE COLLECTIONS,25140,1,1
365083,TDS LANDFILL,2017-01-02 12:40:00,GARBAGE COLLECTIONS,26140,1,1
552593,TDS LANDFILL,2017-01-02 12:42:00,GARBAGE COLLECTIONS,23860,1,1
454888,TDS LANDFILL,2017-01-02 12:44:00,GARBAGE COLLECTIONS,23420,1,1
111025,TDS LANDFILL,2017-01-02 12:45:00,GARBAGE COLLECTIONS,25440,1,1
79291,TDS LANDFILL,2017-01-02 12:45:00,GARBAGE COLLECTIONS,26640,1,1
373455,TDS LANDFILL,2017-01-02 12:47:00,GARBAGE COLLECTIONS,26260,1,1
100915,TDS LANDFILL,2017-01-02 12:47:00,GARBAGE COLLECTIONS,22560,1,1
35389,TDS LANDFILL,2017-01-02 12:49:00,GARBAGE COLLECTIONS,26760,1,1
74959,HORNSBY BEND,2017-01-02 12:49:00,YARD TRIMMING,16020,3,3
157657,TDS - MRF,2017-01-02 12:49:00,RECYCLING - SINGLE STREAM,14320,4,2
169877,HORNSBY BEND,2017-01-02 12:51:00,YARD TRIMMING,15580,3,3
210834,HORNSBY BEND,2017-01-02 12:51:00,BRUSH,8560,3,6
496294,TDS - MRF,2017-01-02 12:52:00,RECYCLING - SINGLE STREAM,21700,4,2
535640,TDS LANDFILL,2017-01-02 12:53:00,GARBAGE COLLECTIONS,22440,1,1
495902,TDS LANDFILL,2017-01-02 12:56:00,GARBAGE COLLECTIONS,21340,1,1
129963,TDS LANDFILL,2017-01-02 13:01:00,GARBAGE COLLECTIONS,27020,1,1
126914,TDS - MRF,2017-01-02 13:03:00,RECYCLING - SINGLE STREAM,13720,4,2
280280,TDS LANDFILL,2017-01-02 13:04:00,GARBAGE COLLECTIONS,20680,1,1
216689,TDS LANDFILL,2017-01-02 13:06:00,GARBAGE COLLECTIONS,28440,1,1
36082,TDS LANDFILL,2017-01-02 13:07:00,GARBAGE COLLECTIONS,23220,1,1
187137,TDS LANDFILL,2017-01-02 13:09:00,GARBAGE COLLECTIONS,22440,1,1
514011,HORNSBY BEND,2017-01-02 13:12:00,YARD TRIMMING,14360,3,3
391163,TDS LANDFILL,2017-01-02 13:13:00,GARBAGE COLLECTIONS,22540,1,1
247252,TDS - MRF,2017-01-02 13:22:00,RECYCLING - SINGLE STREAM,11120,4,2
26203,TDS LANDFILL,2017-01-02 13:26:00,GARBAGE COLLECTIONS,26220,1,1
39067,TDS LANDFILL,2017-01-02 13:30:00,GARBAGE COLLECTIONS,28100,1,1
59115,ORGANICS BY GOSH,2017-01-02 13:34:00,YARD TRIMMING,13100,8,3
353832,HORNSBY BEND,2017-01-02 13:34:00,YARD TRIMMING,12300,3,3
420004,ORGANICS BY GOSH,2017-01-02 13:35:00,YARD TRIMMING,20740,8,3
186478,ORGANICS BY GOSH,2017-01-02 13:35:00,YARD TRIMMING,18280,8,3
268021,ORGANICS BY GOSH,2017-01-02 13:42:00,YARD TRIMMING,19760,8,3
522090,HORNSBY BEND,2017-01-02 13:46:00,YARD TRIMMING,12880,3,3
359230,TDS LANDFILL,2017-01-02 13:49:00,GARBAGE COLLECTIONS,27680,1,1
553938,TDS LANDFILL,2017-01-02 13:50:00,GARBAGE COLLECTIONS,13640,1,1
403340,TDS LANDFILL,2017-01-02 13:51:00,GARBAGE COLLECTIONS,24480,1,1
168106,TDS - MRF,2017-01-02 13:52:00,RECYCLING - SINGLE STREAM,22560,4,2
84780,TDS - MRF,2017-01-02 13:56:00,RECYCLING - SINGLE STREAM,13580,4,2
403673,HORNSBY BEND,2017-01-02 13:56:00,YARD TRIMMING,17340,3,3
349172,TDS - MRF,2017-01-02 14:09:00,RECYCLING - SINGLE STREAM,12440,4,2
23173,HORNSBY BEND,2017-01-02 14:11:00,YARD TRIMMING,19100,3,3
328986,HORNSBY BEND,2017-01-02 14:12:00,BRUSH,12980,3,6
538091,TDS - MRF,2017-01-02 14:17:00,RECYCLING - SINGLE STREAM,20220,4,2
298970,HORNSBY BEND,2017-01-02 14:26:00,YARD TRIMMING,15600,3,3
310529,TDS - MRF,2017-01-02 14:29:00,RECYCLING - SINGLE STREAM,2580,4,2
509812,TDS LANDFILL,2017-01-02 14:30:00,GARBAGE COLLECTIONS,26800,1,1
111064,TDS LANDFILL,2017-01-02 14:30:00,GARBAGE COLLECTIONS,25300,1,1
74502,TDS - MRF,2017-01-02 14:33:00,RECYCLING - SINGLE STREAM,11600,4,2
216741,TDS - MRF,2017-01-02 14:38:00,RECYCLING - SINGLE STREAM,13200,4,2
139383,TDS - MRF,2017-01-02 14:39:00,RECYCLING - SINGLE STREAM,12100,4,2
417835,HORNSBY BEND,2017-01-02 14:42:00,BRUSH,7620,3,6
129768,TDS - MRF,2017-01-02 14:43:00,RECYCLING - SINGLE STREAM,21500,4,2
459358,TDS - MRF,2017-01-02 14:44:00,RECYCLING - SINGLE STREAM,12240,4,2
420275,TDS - MRF,2017-01-02 14:46:00,RECYCLING - SINGLE STREAM,8780,4,2
466434,TDS LANDFILL,2017-01-02 14:55:00,GARBAGE COLLECTIONS,23720,1,1
408695,TDS - MRF,2017-01-02 15:01:00,RECYCLING - SINGLE STREAM,14060,4,2
82870,TDS LANDFILL,2017-01-02 15:06:00,GARBAGE COLLECTIONS,23800,1,1
194790,TDS - MRF,2017-01-02 15:07:00,RECYCLING - SINGLE STREAM,11280,4,2
237223,TDS LANDFILL,2017-01-02 15:15:00,GARBAGE COLLECTIONS,21060,1,1
45065,TDS - MRF,2017-01-02 15:21:00,RECYCLING - SINGLE STREAM,12300,4,2
439381,TDS LANDFILL,2017-01-02 15:23:00,GARBAGE COLLECTIONS,11920,1,1
556790,HORNSBY BEND,2017-01-02 15:27:00,YARD TRIMMING,17260,3,3
110600,TDS LANDFILL,2017-01-02 15:27:00,GARBAGE COLLECTIONS,26020,1,1
354458,TDS LANDFILL,2017-01-02 15:29:00,GARBAGE COLLECTIONS,7520,1,1
109058,TDS LANDFILL,2017-01-02 15:33:00,GARBAGE COLLECTIONS,5300,1,1
322810,TDS LANDFILL,2017-01-02 15:33:00,GARBAGE COLLECTIONS,6300,1,1
299525,TDS LANDFILL,2017-01-02 15:35:00,GARBAGE COLLECTIONS,24820,1,1
274039,TDS LANDFILL,2017-01-02 15:39:00,GARBAGE COLLECTIONS,9000,1,1
408894,TDS LANDFILL,2017-01-02 15:40:00,GARBAGE COLLECTIONS,2720,1,1
407037,TDS LANDFILL,2017-01-02 15:40:00,GARBAGE COLLECTIONS,27380,1,1
338197,TDS LANDFILL,2017-01-02 15:42:00,GARBAGE COLLECTIONS,12900,1,1
315883,TDS LANDFILL,2017-01-02 15:47:00,GARBAGE COLLECTIONS,4520,1,1
78573,TDS LANDFILL,2017-01-02 15:48:00,GARBAGE COLLECTIONS,23920,1,1
362674,HORNSBY BEND,2017-01-02 15:50:00,YARD TRIMMING,16080,3,3
276183,TDS LANDFILL,2017-01-02 15:50:00,GARBAGE COLLECTIONS,12580,1,1
223588,TDS LANDFILL,2017-01-02 15:50:00,GARBAGE COLLECTIONS,23760,1,1
240928,TDS LANDFILL,2017-01-02 15:50:00,GARBAGE COLLECTIONS,8020,1,1
322627,TDS LANDFILL,2017-01-02 15:53:00,GARBAGE COLLECTIONS,26260,1,1
193975,TDS LANDFILL,2017-01-02 15:53:00,GARBAGE COLLECTIONS,12580,1,1
289294,HORNSBY BEND,2017-01-02 16:03:00,YARD TRIMMING,15160,3,3
502711,TDS - MRF,2017-01-02 16:23:00,RECYCLING - SINGLE STREAM,5420,4,2
189851,TDS - MRF,2017-01-02 16:23:00,RECYCLING - SINGLE STREAM,11460,4,2
316195,TDS - MRF,2017-01-02 16:26:00,RECYCLING - SINGLE STREAM,12200,4,2
526645,HORNSBY BEND,2017-01-02 16:27:00,YARD TRIMMING,10000,3,3
3745,TDS - MRF,2017-01-02 16:30:00,RECYCLING - SINGLE STREAM,14460,4,2
26986,TDS - MRF,2017-01-02 16:33:00,RECYCLING - SINGLE STREAM,11240,4,2
388202,HORNSBY BEND,2017-01-02 16:50:00,YARD TRIMMING,18920,3,3
76700,TDS - MRF,2017-01-02 16:55:00,RECYCLING - SINGLE STREAM,8480,4,2
225509,TDS - MRF,2017-01-02 16:56:00,RECYCLING - SINGLE STREAM,7580,4,2
561667,TDS - MRF,2017-01-02 16:56:00,RECYCLING - SINGLE STREAM,9600,4,2
211170,TDS - MRF,2017-01-02 17:02:00,RECYCLING - SINGLE STREAM,11720,4,2
485792,TDS - MRF,2017-01-02 17:04:00,RECYCLING - SINGLE STREAM,2920,4,2
356269,HORNSBY BEND,2017-01-02 17:06:00,YARD TRIMMING,13420,3,3
480588,HORNSBY BEND,2017-01-02 17:07:00,YARD TRIMMING,17420,3,3
30955,HORNSBY BEND,2017-01-02 17:07:00,YARD TRIMMING,8380,3,3
392853,HORNSBY BEND,2017-01-02 17:09:00,YARD TRIMMING,15080,3,3
33782,HORNSBY BEND,2017-01-02 17:14:00,YARD TRIMMING,6500,3,3
519981,TDS - MRF,2017-01-02 17:14:00,RECYCLING - SINGLE STREAM,3160,4,2
151526,TDS - MRF,2017-01-02 17:16:00,RECYCLING - SINGLE STREAM,4320,4,2
222161,HORNSBY BEND,2017-01-02 17:21:00,YARD TRIMMING,17660,3,3
258608,HORNSBY BEND,2017-01-02 17:24:00,YARD TRIMMING,15940,3,3
441188,HORNSBY BEND,2017-01-02 17:38:00,YARD TRIMMING,12100,3,3
